date,currency,noncomm_long,noncomm_short,open_interest,net,lev_funds_long,lev_funds_short,lev_funds_net,asset_mgr_long,asset_mgr_short,asset_mgr_net,dealer_long,dealer_short,dealer_net
2014-08-05,AUD,60860,27560,98196,33300,0,0,0,0,0,0,4462,31590,-27128
2014-08-05,CAD,48944,27489,115261,21455,0,0,0,0,0,0,14029,49373,-35344
2014-08-05,CHF,9247,28100,57238,-18853,0,0,0,0,0,0,34956,1605,33351
2014-08-05,EUR,55179,183926,379004,-128747,0,0,0,0,0,0,196767,14657,182110
2014-08-05,GBP,66437,54316,230801,12121,0,0,0,0,0,0,23326,73549,-50223
2014-08-05,JPY,9896,105295,192906,-95399,0,0,0,0,0,0,111391,10849,100542
2014-08-05,NZD,18949,4449,25603,14500,0,0,0,0,0,0,2106,12566,-10460
2014-08-05,USD,63727,40075,82000,23652,0,0,0,0,0,0,12317,33441,-21124
2014-08-12,AUD,54691,25145,94030,29546,0,0,0,0,0,0,9662,30199,-20537
2014-08-12,CAD,44053,26055,108979,17998,0,0,0,0,0,0,14780,42058,-27278
2014-08-12,CHF,5247,22606,51981,-17359,0,0,0,0,0,0,34216,1457,32759
2014-08-12,EUR,51596,177613,376424,-126017,0,0,0,0,0,0,199980,16316,183664
2014-08-12,GBP,65348,46549,223719,18799,0,0,0,0,0,0,26450,72755,-46305
2014-08-12,JPY,12518,93615,192140,-81097,0,0,0,0,0,0,108904,28040,80864
2014-08-12,NZD,17913,4484,25214,13429,0,0,0,0,0,0,2157,11714,-9557
2014-08-12,USD,64323,41139,84214,23184,0,0,0,0,0,0,12938,33240,-20302
2014-08-19,AUD,65747,29173,103432,36574,0,0,0,0,0,0,3258,33603,-30345
2014-08-19,CAD,41844,34563,113301,7281,0,0,0,0,0,0,18688,36707,-18019
2014-08-19,CHF,6174,21666,50414,-15492,0,0,0,0,0,0,31958,1680,30278
2014-08-19,EUR,56774,195599,396460,-138825,0,0,0,0,0,0,208273,18177,190096
2014-08-19,GBP,72230,58943,237291,13287,0,0,0,0,0,0,46718,73026,-26308
2014-08-19,JPY,17976,105247,203180,-87271,0,0,0,0,0,0,113309,18072,95237
2014-08-19,NZD,16796,4764,24048,12032,0,0,0,0,0,0,2384,9956,-7572
2014-08-19,USD,70323,43136,89417,27187,0,0,0,0,0,0,13350,33228,-19878
2014-08-26,AUD,71658,29720,107819,41938,0,0,0,0,0,0,2526,38253,-35727
2014-08-26,CAD,38522,32859,108441,5663,0,0,0,0,0,0,19363,34899,-15536
2014-08-26,CHF,7466,20505,53761,-13039,0,0,0,0,0,0,30591,1628,28963
2014-08-26,EUR,53989,204646,402709,-150657,0,0,0,0,0,0,217173,18511,198662
2014-08-26,GBP,71002,55535,233435,15467,0,0,0,0,0,0,61761,72832,-11071
2014-08-26,JPY,19512,122403,218009,-102891,0,0,0,0,0,0,128155,7250,120905
2014-08-26,NZD,16405,4564,23619,11841,0,0,0,0,0,0,2377,9364,-6987
2014-08-26,USD,72561,43720,90807,28841,0,0,0,0,0,0,13783,33328,-19545
2014-09-02,AUD,77050,28003,114146,49047,0,0,0,0,0,0,2104,44334,-42230
2014-09-02,CAD,35333,26142,105984,9191,0,0,0,0,0,0,18078,39647,-21569
2014-09-02,CHF,9166,22333,60436,-13167,0,0,0,0,0,0,33012,1984,31028
2014-09-02,EUR,59398,220821,419850,-161423,0,0,0,0,0,0,230734,19784,210950
2014-09-02,GBP,67538,58090,238973,9448,0,0,0,0,0,0,72581,74580,-1999
2014-09-02,JPY,15485,132793,230937,-117308,0,0,0,0,0,0,143384,8272,135112
2014-09-02,NZD,15623,5451,23319,10172,0,0,0,0,0,0,3193,8102,-4909
2014-09-02,USD,69905,40754,87783,29151,0,0,0,0,0,0,13805,33072,-19267
2014-09-09,AUD,73321,32092,126831,41229,0,0,0,0,0,0,2242,36225,-33983
2014-09-09,CAD,33400,21770,102951,11630,0,0,0,0,0,0,20022,38282,-18260
2014-09-09,CHF,9856,23681,77317,-13825,0,0,0,0,0,0,34804,3192,31612
2014-09-09,EUR,59376,216881,484306,-157505,0,0,0,0,0,0,228008,27374,200634
2014-09-09,GBP,81330,54603,256591,26727,0,0,0,0,0,0,94051,84818,9233
2014-09-09,JPY,17280,117953,255624,-100673,0,0,0,0,0,0,130762,6892,123870
2014-09-09,NZD,14369,4847,24920,9522,0,0,0,0,0,0,4007,7990,-3983
2014-09-09,USD,72225,39730,89540,32495,0,0,0,0,0,0,13991,33038,-19047
2014-09-16,AUD,55588,33448,97839,22140,0,0,0,0,0,0,17520,19562,-2042
2014-09-16,CAD,37347,29803,110275,7544,0,0,0,0,0,0,23999,34272,-10273
2014-09-16,CHF,12889,24285,54929,-11396,0,0,0,0,0,0,31946,1869,30077
2014-09-16,EUR,79552,216701,397652,-137149,0,0,0,0,0,0,185302,16873,168429
2014-09-16,GBP,55617,62198,134560,-6581,0,0,0,0,0,0,16852,7370,9482
2014-09-16,JPY,37617,120799,208235,-83182,0,0,0,0,0,0,112322,3664,108658
2014-09-16,NZD,9814,8694,16050,1120,0,0,0,0,0,0,2310,3057,-747
2014-09-16,USD,73991,20628,90930,53363,0,0,0,0,0,0,14006,56131,-42125
2014-09-23,AUD,47187,38840,105756,8347,0,0,0,0,0,0,26162,18000,8162
2014-09-23,CAD,27673,24609,76530,3064,0,0,0,0,0,0,4781,8071,-3290
2014-09-23,CHF,8354,21729,52124,-13375,0,0,0,0,0,0,33320,2401,30919
2014-09-23,EUR,60654,202619,398937,-141965,0,0,0,0,0,0,193302,19225,174077
2014-09-23,GBP,53691,54741,134061,-1050,0,0,0,0,0,0,15086,8023,7063
2014-09-23,JPY,28391,133813,222214,-105422,0,0,0,0,0,0,127486,4589,122897
2014-09-23,NZD,9779,7938,16146,1841,0,0,0,0,0,0,2254,3603,-1349
2014-09-23,USD,75950,18960,93016,56990,0,0,0,0,0,0,13275,56464,-43189
2014-09-30,AUD,43193,45210,118488,-2017,0,0,0,0,0,0,44470,17003,27467
2014-09-30,CAD,33014,37580,89376,-4566,0,0,0,0,0,0,7131,6665,466
2014-09-30,CHF,11998,24555,57223,-12557,0,0,0,0,0,0,35129,3032,32097
2014-09-30,EUR,67030,204555,409986,-137525,0,0,0,0,0,0,199628,27283,172345
2014-09-30,GBP,54243,50654,132369,3589,0,0,0,0,0,0,9989,12717,-2728
2014-09-30,JPY,29910,150788,239477,-120878,0,0,0,0,0,0,140967,7629,133338
2014-09-30,NZD,10092,10028,18209,64,0,0,0,0,0,0,3082,2589,493
2014-09-30,USD,77468,21073,95588,56395,0,0,0,0,0,0,13596,56357,-42761
2014-10-07,AUD,31601,58087,129561,-26486,0,0,0,0,0,0,64159,14773,49386
2014-10-07,CAD,39174,46626,100900,-7452,0,0,0,0,0,0,10358,5313,5045
2014-10-07,CHF,15509,27928,60516,-12419,0,0,0,0,0,0,35977,3555,32422
2014-10-07,EUR,61467,207679,425656,-146212,0,0,0,0,0,0,219948,29711,190237
2014-10-07,GBP,46503,47578,129666,-1075,0,0,0,0,0,0,19469,14584,4885
2014-10-07,JPY,24837,137388,223255,-112551,0,0,0,0,0,0,123682,4361,119321
2014-10-07,NZD,10052,10152,19214,-100,0,0,0,0,0,0,5231,3877,1354
2014-10-07,USD,73699,24022,94286,49677,0,0,0,0,0,0,14219,56085,-41866
2014-10-14,AUD,14367,44638,115941,-30271,0,0,0,0,0,0,69036,14548,54488
